,id,title,original_language,release_date,genre_ids,popularity,vote_average,vote_count
238,438631,Dune,en,2021-09-08,"[878, 12]",221.081,7.9,7471
239,606856,Togo,en,2019-12-20,"[12, 10751]",155.486,8.2,1546
240,520763,A Quiet Place Part II,en,2021-05-21,"[878, 53, 27]",188.202,7.6,4588
241,400160,The SpongeBob Movie: Sponge on the Run,en,2020-08-14,"[10751, 16, 14, 12, 35]",192.013,7.6,2501
242,1865,Pirates of the Caribbean: On Stranger Tides,en,2011-05-14,"[12, 28, 14]",191.819,6.5,12191
243,698508,Redeeming Love,en,2022-01-21,"[18, 36, 10749]",188.645,7.9,108
244,776305,Belle,ja,2021-07-16,"[16, 18, 878, 10402]",201.814,8.0,407
245,926899,The House,en,2022-01-14,"[16, 18, 35, 27, 14]",187.023,7.0,696
246,920143,The Trip 6,es,2021-12-25,[35],177.468,7.2,60
247,198663,The Maze Runner,en,2014-09-10,"[28, 9648, 878, 53]",181.857,7.2,14836
248,451048,Jungle Cruise,en,2021-07-28,"[28, 12, 14]",224.816,7.5,4497
249,8587,The Lion King,en,1994-06-23,"[10751, 16, 18]",197.132,8.3,15592
250,783461,Looop Lapeta,hi,2022-02-04,"[28, 35, 80]",182.444,6.3,47
251,938596,Bull Shark,en,2022-02-05,[27],212.435,5.4,41
252,21208,Orphan,en,2009-07-24,"[27, 53, 9648]",190.39,7.0,4213
253,259693,The Conjuring 2,en,2016-06-08,"[27, 53]",184.325,7.3,6955
254,862,Toy Story,en,1995-10-30,"[16, 12, 10751, 35]",198.685,8.0,15699
255,138843,The Conjuring,en,2013-07-18,"[27, 53]",193.486,7.5,9601
256,637649,Wrath of Man,en,2021-04-22,"[28, 80, 53]",189.164,7.7,3813
257,675,Harry Potter and the Order of the Phoenix,en,2007-06-28,"[12, 14, 9648]",199.286,7.7,16637
258,829358,Queen of Spades,en,2021-06-11,[27],195.847,6.5,64
259,808,Shrek,en,2001-05-18,"[16, 35, 14, 12, 10751]",190.916,7.7,14168
260,676705,Pil's Adventures,fr,2021-08-11,"[12, 16, 35, 10751, 14]",183.191,6.8,108
261,315635,Spider-Man: Homecoming,en,2017-07-05,"[28, 12, 878, 18]",182.402,7.4,18945
262,24021,The Twilight Saga: Eclipse,en,2010-06-23,"[12, 14, 18, 10749]",186.969,6.2,7624
263,602223,The Forever Purge,en,2021-06-30,"[27, 28, 53]",182.76,7.2,1848
264,774741,Diary of a Wimpy Kid,en,2021-12-03,"[16, 35, 10751]",180.332,6.4,255
265,997647,Legend - A Dragon Ball Tale,en,2022-07-06,"[16, 28]",180.109,5.1,10
266,75624,Naruto Shippuden the Movie: Blood Prison,ja,2011-07-30,"[53, 16, 28, 35, 27, 9648]",172.268,7.2,383
267,890656,Fistful of Vengeance,en,2022-02-17,"[28, 80, 14]",173.841,5.5,201
268,843847,Jerry & Marge Go Large,en,2022-06-15,"[35, 18]",176.102,6.9,69
269,474350,It Chapter Two,en,2019-09-04,"[27, 14]",184.846,6.9,7116
270,755566,Day Shift,en,2022-08-10,"[28, 14, 27]",177.852,6.7,39
271,760868,Black Crab,sv,2022-03-18,"[28, 53]",175.499,6.3,544
272,177572,Big Hero 6,en,2014-10-24,"[12, 10751, 16, 28, 35]",184.706,7.7,13846
273,429617,Spider-Man: Far from Home,en,2019-06-28,"[28, 12, 878]",157.496,7.5,12950
274,937337,What a Father!,es,2022-02-09,"[35, 10751, 10749]",161.622,8.4,120
275,50620,The Twilight Saga: Breaking Dawn - Part 2,en,2012-11-13,"[12, 14, 18, 10749]",170.024,6.5,7786
276,870671,The Hunting,en,2022-01-21,[27],173.599,4.8,27
277,820511,Ripper Untold,en,2021-06-28,[27],179.783,6.3,102
278,1930,The Amazing Spider-Man,en,2012-06-23,"[28, 12, 14]",162.691,6.7,15160
279,846250,Fire Island,en,2022-06-09,"[35, 10749]",162.84,7.0,94
280,821494,Last Film Show,gu,2022-01-06,[18],166.221,5.0,4
281,609972,Paranormal Activity: Next of Kin,en,2021-10-29,"[27, 9648, 53]",173.041,6.4,399
282,829920,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,ja,2021-07-30,"[16, 28, 12, 14]",180.032,6.4,14
283,631843,Old,en,2021-07-21,"[53, 9648, 27]",159.497,6.5,2939
284,760926,Gold,en,2022-01-13,"[53, 28]",158.628,6.3,343
285,39101,Dragon Ball Z: The Tree of Might,ja,1990-06-07,"[28, 16, 878]",171.08,6.5,427
286,505262,My Hero Academia: Two Heroes,ja,2018-08-03,"[16, 28, 12, 14]",178.632,8.0,785
287,373879,One Piece: Adventure of Nebulandia,ja,2015-12-20,"[28, 16, 12, 35, 14]",156.658,7.6,127
288,610253,Halloween Kills,en,2021-10-14,"[27, 53]",165.089,6.7,1865
289,916964,Targeted,es,2022-04-28,[53],162.443,6.3,5
290,775943,Tarumama,es,2021-07-29,"[27, 18]",168.692,4.6,26
291,876716,Ciao Alberto,en,2021-11-12,"[16, 35, 10751, 14]",170.857,7.5,515
292,118406,Road to Ninja: Naruto the Movie,ja,2012-07-28,"[16, 14, 28]",172.591,7.6,714
293,671318,¿Y cómo es él?,es,2022-04-07,[35],199.363,7.4,154
294,591273,Fear Street: 1994,en,2021-06-28,"[9648, 27, 14]",175.659,6.8,1663
